Importance,Level,Job Zone,Code,Occupation
69,57,3,29-9093.00,Surgical Assistants
69,54,3,51-9162.00,Computer Numerically Controlled Tool Programmers
69,54,3,53-6041.00,Traffic Technicians
69,53,2,43-5011.01,Freight Forwarders
69,53,4,13-1199.06,Online Merchants
69,53,3,53-5031.00,Ship Engineers
69,52,4,17-2141.00,Mechanical Engineers
69,51,4,41-9021.00,Real Estate Brokers
69,50,3,41-3041.00,Travel Agents
69,46,2,43-3041.00,Gambling Cage Workers
68,65,5,25-1081.00,"Education Teachers, Postsecondary"
68,65,4,17-2171.00,Petroleum Engineers
68,60,4,17-2072.01,Radio Frequency Identification Device Specialists
68,58,5,19-3032.00,Industrial-Organizational Psychologists
68,57,4,13-1131.00,Fundraisers
68,57,3,11-3051.02,Geothermal Production Managers
68,55,4,19-4099.03,Remote Sensing Technicians
68,54,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
68,53,2,51-8013.00,Power Plant Operators
68,52,3,43-6012.00,Legal Secretaries and Administrative Assistants
68,50,4,11-3051.00,Industrial Production Managers
68,49,4,13-1121.00,"Meeting, Convention, and Event Planners"
68,48,5,25-4022.00,Librarians and Media Collections Specialists
68,47,3,27-4011.00,Audio and Video Technicians
68,46,5,25-1031.00,"Architecture Teachers, Postsecondary"
68,44,4,25-2021.00,"Elementary School Teachers, Except Special Education"
68,43,4,27-1021.00,Commercial and Industrial Designers
68,41,3,27-4031.00,"Camera Operators, Television, Video, and Film"
67,63,5,25-1021.00,"Computer Science Teachers, Postsecondary"
67,56,4,17-2051.00,Civil Engineers
67,55,5,25-9031.00,Instructional Coordinators
67,55,3,49-9071.00,"Maintenance and Repair Workers, General"
67,53,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
67,53,3,17-3013.00,Mechanical Drafters
67,52,3,17-3022.00,Civil Engineering Technologists and Technicians
67,52,4,27-1025.00,Interior Designers
67,50,3,17-3011.00,Architectural and Civil Drafters
67,48,5,25-9021.00,Farm and Home Management Educators
67,48,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
67,48,4,27-2012.00,Producers and Directors
67,47,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
67,46,2,49-9096.00,Riggers
67,42,2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
67,40,5,25-1052.00,"Chemistry Teachers, Postsecondary"
66,61,4,17-2071.00,Electrical Engineers
66,60,4,11-3111.00,Compensation and Benefits Managers
66,56,3,51-8092.00,Gas Plant Operators
66,56,5,25-1112.00,"Law Teachers, Postsecondary"
66,55,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
66,55,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
66,55,3,45-4011.00,Forest and Conservation Workers
66,55,4,13-1075.00,Labor Relations Specialists
66,55,2,49-9044.00,Millwrights
66,55,4,17-2051.01,Transportation Engineers
66,54,4,15-1244.00,Network and Computer Systems Administrators
66,54,3,15-1241.01,Telecommunications Engineering Specialists
66,52,2,53-7051.00,Industrial Truck and Tractor Operators
66,52,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
66,51,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
66,51,4,11-9199.10,Wind Energy Development Managers
66,50,2,31-2022.00,Physical Therapist Aides
66,49,2,43-3071.00,Tellers
66,48,3,49-9092.00,Commercial Divers
66,48,2,47-4099.03,Weatherization Installers and Technicians
66,47,2,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
66,47,4,11-1021.00,General and Operations Managers
66,46,3,41-9022.00,Real Estate Sales Agents
66,45,2,37-2021.00,Pest Control Workers
65,60,4,11-3031.01,Treasurers and Controllers
65,58,4,17-2121.00,Marine Engineers and Naval Architects
65,58,4,19-3099.01,Transportation Planners
65,55,4,13-1151.00,Training and Development Specialists
65,54,4,15-1255.01,Video Game Designers
65,51,4,11-3031.00,Financial Managers
65,51,2,39-7012.00,Travel Guides
65,49,2,53-1041.00,Aircraft Cargo Handling Supervisors
65,49,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
65,49,4,21-2021.00,"Directors, Religious Activities and Education"
65,49,3,49-2098.00,Security and Fire Alarm Systems Installers
65,48,3,35-1011.00,Chefs and Head Cooks
65,47,2,51-8091.00,Chemical Plant and System Operators
65,46,2,53-4011.00,Locomotive Engineers
65,45,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
65,43,2,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
65,42,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
65,38,2,39-2021.00,Animal Caretakers
65,35,2,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
65,34,3,25-4031.00,Library Technicians
65,31,3,43-3021.00,Billing and Posting Clerks
65,28,2,43-2021.00,Telephone Operators
64,60,4,17-2021.00,Agricultural Engineers
64,57,4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
64,55,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
64,54,4,17-1012.00,Landscape Architects
